Last name,First name,PID,State,District,Chamber,Twitter Handle,Total 112th Tweets,,
Rangel, Charles B ,D,NY,15,U S  House,cbrangel,1343,,
Reed, Tom,R,NY,23,U S  House,  RepTomReed,305,,
Reed, Jack,D,RI,,U S  Senate,SenJackReed,588,,
Rehberg, Denny,R,MT,1,U S  House,,0,,
Reichert, Dave,R,WA,8,U S  House, davereichert,588,,
Reid, Harry,D,NV,,U S  Senate,SenatorReid,1382,,
Renacci, James B ,R,OH,16,U S  House, RepJimRenacci,965,,
Reyes, Silvestre,D,TX,16,U S  House, SilvestreReyes,929,,
Ribble, Reid,R,WI,8,U S  House, RepRibble,378,,
Richardson, Laura,D,CA,37,U S  House, _LRichardson,577,,
Richmond, Cedric L ,D,LA,2,U S  House, RepRichmond,741,,
Rigell, Scott,R,VA,2,U S  House, RepScottRigell,1110,,
Risch, Jim,R,ID,,U S  Senate,  SenatorRisch,0,,
Rivera, David,R,FL,25,U S  House, RepRivera,550,,
Roberts, Pat,R,KS,,U S  Senate, SenPatRoberts,374,,
Roby, Martha,R,AL,2,U S  House, RepMarthaRoby,1008,,
Rockefeller, John D ,D,WV,,U S  Senate,  SenRockefeller,1882,,
Roe, Phil,R,TN,1,U S  House, DrPhilRoe,527,,
Rogers, Harold,R,KY,5,U S  House, RepHalRogers,206,,
Rogers, Mike,R,MI,8,U S  House, RepMikeRogers,323,,
Rogers, Mike D ,R, AL,3,U S  House, RepMikeRogersAL,477,,
Rohrabacher, Dana,R,CA,48,U S  House, DanaRohrabacher,2687,,
Rokita, Todd,R,IN,4,U S  House, ToddRokita,1118,,
Rooney, Tom,R,FL,17,U S  House, TomRooney,1119,,
Roskam, Peter,R,IL,6,U S  House, PeterRoskam,1045,,
Ros-Lehtinen, Ileana,R,FL,27,U S  House, RosLehtinen,4137,,
Ross, Dennis,R,FL,15,U S  House, RepDennisRoss,2292,,
Ross, Mike,D,AR,4,U S  House,  MikeRossUpdates,0,,
Rothman, Steven R ,D,NJ,9,U S  House, SteveRothmanNJ,125,,
Roybal-Allard, Lucille,D,CA,34,U S  House, RepRoybalAllard,189,,
Royce, Ed,R,CA,39,U S  House, RepEdRoyce,651,,
Rubio, Marco,R,FL,,U S  Senate, marcorubio,431,,
Runyan, Jon,R,NJ,3,U S  House, RepJonRunyan,378,,
Ruppersberger, C A  Dutch,D,MD,2,U S  House,  Call_Me_Dutch,730,,
Rush, Bobby L ,D,IL,1,U S  House,  RepBobbyRush,321,,
Ryan, Tim,D,OH,13,U S  House,  RepTimRyan,519,,
Ryan, Paul D ,R,WI,1,U S  House, RepPaulRyan,587,,
Sanchez, Linda T ,D,CA,39,U S  House, RepLindaSanchez,590,,
Sanchez, Loretta,D,CA,46,U S  House, LorettaSanchez,860,,
Sanders, Bernard,I,VT,,U S  Senate, SenSanders,1109,,
Sarbanes, John,D,MD,3,U S  House, JohnSarbanes,230,,
Scalise, Steve,R,LA,1,U S  House,  SteveScalise,0,,
Schakowsky, Jan,D,IL,9,U S  House, janschakowsky,637,,
Schiff, Adam B ,D,CA,28,U S  House,  RepAdamSchiff,451,,
Schilling, Bobby,R,IL,17,U S  House,,0,,
Schmidt, Jean,R,OH,2,U S  House,NTA,0,,
Schock, Aaron,R,IL,18,U S  House, aaronschock,1121,,
Schrader, Kurt,D,OR,5,U S  House, RepSchrader,461,,
Schumer, Charles E ,D,NY,,U S  Senate, SenSchumer,874,,
Schwartz, Allyson Y ,D,PA,13,U S  House,  allysonschwartz,0,,
Schweikert, David,R,AZ,6,U S  House, RepDavid,1508,,
Scott, Robert C ,D,VA,3,U S  House, repbobbyscott,344,,
Scott, David,D,GA,13,U S  House, repdavidscott,355,,
Scott, Austin,R,GA,8,U S  House, AustinScottGA08,608,,
Scott, Tim,R,SC,1,U S  House, RepTimScott,1285,,
Sensenbrenner, James F ,R,WI,5,U S  House,  JimPressOffice,77,,
Serrano, Jose E ,D,NY,16,U S  House, RepJoseSerrano,825,,
Sessions, Jeff,R,AL,,U S  Senate, SenatorSessions,567,,
Sessions, Pete,R,TX,32,U S  House, PeteSessions,1311,,
Sewell, Terri A ,D,AL,7,U S  House, RepTerriSewell,515,,
Shaheen, Jeanne,D,NH,,U S  Senate, SenatorShaheen,1492,,
Shelby, Richard C ,R,AL,,U S  Senate, SenShelby,79,,
Sherman, Brad,D,CA,27,U S  House, BradSherman,142,,
Shimkus, John,R,IL,15,U S  House,  RepShimkus,3272,,
Shuler, Heath,D,NC,11,U S  House,,0,,
Shuster, Bill,R,PA,9,U S  House, RepBillShuster,715,,
Simpson, Mike,R,ID,2,U S  House, CongMikeSimpson,82,,
Sires, Albio,D,NJ,13,U S  House, RepSires,402,,
Slaughter, Louise M ,D,NY,28,U S  House, louiseslaughter,314,,
Smith, Christopher H ,R,NJ,4,U S  House,  RepChrisSmith,0,,
Smith, Lamar,R,TX,21,U S  House, LamarSmithTX21,221,,
Smith, Adrian,R,NE,3,U S  House, RepAdrianSmith,333,,
Smith, Adam,D,WA,9,U S  House, RepAdamSmith,460,,
Snowe, Olympia J ,R,ME,,U S  Senate, SenatorSnowe,221,,
Southerland, Steve II,R,FL,2,U S  House, Rep_Southerland,391,,
Speier, Jackie,D,CA,12,U S  House, RepSpeier,754,,
Stabenow, Debbie,D,MI,,U S  Senate, SenStabenow,389,,
Stark, Pete,D,CA,13,U S  House,,0,,
Stearns, Cliff,R,FL,6,U S  House, RepCliffStearns,407,,
Stivers, Steve,R,OH,15,U S  House, RepSteveStivers,590,,
Stutzman, Marlin,R,IN,3,U S  House, RepStutzman,717,,
Sullivan, John,R,OK,1,U S  House, USRepSullivan,342,,
Sutton, Betty,D,OH,13,U S  House,,0,,
Terry, Lee,R,NE,2,U S  House, LEETERRYNE,1405,,
Tester, Jon,D,MT,,U S  Senate, SenatorTester,88,,
Thompson, Mike,D,CA,1,U S  House,  RepThompson,0,,
Thompson, Bennie,D,MS,2,U S  House,  HomelandDems,357,,
Thompson, Glenn,R,PA,5,U S  House, CongressmanGT,989,,
Thornberry, William M  “Mac”,R,TX,13,U S  House, MacTXPress,163,,
Thune, John,R,SD,,U S  Senate, SenJohnThune,515,,
Tiberi, Pat,R,OH,12,U S  House, TiberiPress,65,,
Tierney, John F ,D,MA,6,U S  House, RepTierney,290,,
Tipton, Scott,R,CO,3,U S  House, RepTipton,363,,
Tonko, Paul,D,NY,21,U S  House,  RepPaulTonko,454,,
Toomey, Patrick J ,R,PA,,U S  Senate, SenToomey,1093,,
Towns, Edolphus,D,NY,10,U S  House, EdTowns,256,,
Tsongas, Niki,D,MA,5,U S  House, nikiinthehouse,1017,,
Turner, Michael R ,R,OH,10,U S  House, RepMikeTurner,898,,
Udall, Tom,D,NM,,U S  Senate, SenatorTomUdall,1083,,
Udall, Mark,D,CO,,U S  Senate, MarkUdall,1506,,
Upton, Fred,R,MI,6,U S  House, RepFredUpton,709,,
Van Hollen, Chris,D,MD,8,U S  House, ChrisVanHollen,400,,
Velázquez, Nydia M ,D,NY,12,U S  House, NydiaVelazquez,57,,
Visclosky, Peter J ,D,IN,1,U S  House, RepVisclosky,588,,
Vitter, David,R,LA,,U S  Senate, DavidVitter,1570,,
Walberg, Tim,R,MI,7,U S  House, RepWalberg,885,,
Walden, Greg,R,OR,2,U S  House,  repgregwalden,112,,
Walsh, Joe,R,IL,8,U S  House, Rep_JoeWalsh,775,,
Walz, Tim,D,MN,1,U S  House,  RepTimWalz,0,,
Warner, Mark,D,VA,,U S  Senate, MarkWarner,1009,,
Wasserman Schultz, Debbie,D,FL,20,U S  House,  RepDWStweets,0,,
Waters, Maxine,D,CA,35,U S  House, MaxineWaters,591,,
Watt, Melvin,D,NC,12,U S  House, MelWattNC12,0,,
Waxman, Henry A ,D,CA,30,U S  House, WaxmanClimate,119,,
Webb, Jim,D,VA,,U S  Senate,,0,,
Webster, Daniel,R,FL,10,U S  House, RepWebster,743,,
Weiner, Anthony,D,NY,9,U S  House, anthonyweiner,0,,
Welch, Peter,D,VT,1,U S  House, PeterWelch,0,,
West, Allen B ,R,FL,22,U S  House, AllenWest,703,,
Westmoreland, Lynn,R,GA,3,U S  House, RepWestmoreland,811,,
Whitehouse, Sheldon,D,RI,,U S  Senate, SenWhitehouse,739,,
Whitfield, Edward,R,KY,1,U S  House, RepEdWhitfield,55,,
Wicker, Roger,R,MS,,U S  Senate, SenatorWicker,648,,
Wilson, Frederica S ,D,FL,17,U S  House, RepWilson,300,,
Wilson, Joe,R,SC,2,U S  House, CongJoeWilson,574,,
Wittman, Rob,R,VA,1,U S  House, RobWittman,1656,,
Wolf, Frank R ,R,VA,10,U S  House, RepWOLFPress,47,,
Womack, Steve,R,AR,3,U S  House, rep_stevewomack,1156,,
Woodall, Rob,R,GA,7,U S  House, RepRobWoodall,0,,
Woolsey, Lynn,D,CA,6,U S  House, RepLynnWoolsey,0,,
Wu, David,D,OR,1,U S  House,,0,,
Wyden, Ron,D,OR,,U S  Senate, RonWyden,507,,
Yarmuth, John,D,KY,3,U S  House, RepJohnYarmuth,510,,
Yoder, Kevin,R,KS,3,U S  House, RepKevinYoder,1959,,
Young, C W  Bill,R,FL ,13,U S  House,,0,,
Young, Don,R,AK,1,U S  House, repdonyoung,331,,
Young, Todd,R,IN,9,U S  House, RepToddYoung,901,,
