Last name,First name,PID,State,District,Chamber,Twitter Handle,Total 112th Tweets,,
Clarke, Yvette D ,D,NY,11,U S  House, YvetteClarke,37,,
Clarke, Hansen,D,MI,13,U S  House, RepHansenClarke,0,,
Clay, William Lacy,D,MO,1,U S  House,,0,,
Cleaver, Emanuel,D,MO,5,U S  House, repcleaver,539,,
Clyburn, James E ,D,SC,6,U S  House, Clyburn,342,,
Coats, Dan,R,IN,,U S  Senate, SenDanCoats,960,,
Coble, Howard,R,NC,6,U S  House, HowardCoble,468,,
Coburn, Tom,R,OK,,U S  Senate, TomCoburn,329,,
Cochran, Thad,R,MS,,U S  Senate, SenThadCochran,115,,
Coffman, Mike,R,CO,6,U S  House, RepMikeCoffman,416,,
Cohen, Steve,D,TN,9,U S  House, RepCohen,599,,
Cole, Tom,R,OK,4,U S  House, tomcoleok04,40,,
Collins, Susan,R,ME,,U S  Senate, SenatorCollins,385,,
Conaway, K  Michael,R,TX,11,U S  House, ConawayTX11,389,,
Connolly, Gerald E ,D,VA,11,U S  House, GerryConnolly,1660,,
Conrad, Kent,D,ND,,U S  Senate,,0,,
Conyers, John,D,MI,14,U S  House, repjohnconyers,328,,
Coons, Chris,D,DE,,U S  Senate, SenCoonsOffice,961,,
Cooper, Jim,D,TN,5,U S  House, repjimcooper,378,,
Corker, Bob,R,TN,,U S  Senate, SenBobCorker,576,,
Cornyn, John,R,TX,,U S  Senate, JohnCornyn,5670,,
Costa, Jim,D,CA,20,U S  House, RepJimCosta,218,,
Costello, Jerry F ,D,IL,12,U S  House, jerrycostello,0,,
Courtney, Joe,D,CT,20,U S  House, RepJoeCourtney,1891,,
Crapo, Michael D ,R,ID,,U S  Senate, MikeCrapo,913,,
Cravaack, Chip,R,MN,8,U S  House, RepChipCravaack,0,,
Crawford, Rick,R,AR,11,U S  House, RepRickCrawford,340,,
Crenshaw, Ander,R,FL,4,U S  House, AnderCrenshaw,256,,
Critz, Mark,D,PA,12,U S  House,  repmarkcritz,0,,
Crowley, Joseph,D,NY,12,U S  House, repjoecrowley,431,,
Cuellar, Henry,D,TX,28,U S  House, RepCuellar,531,,
Culberson, John,R,TX,7,U S  House, CongCulberson,254,,
Cummings, Elijah E ,D,MD,7,U S  House, RepCummings,117,,
Curson, David A ,D,MI,11,U S  House,  CursonMI11,124,,
Davis, Susan A ,D,CA,53,U S  House, RepSusanDavis,0,,
Davis, Danny K ,D,IL,7,U S  House,,0,,
Davis, Geoff,R,KY,4,U S  House, RepGeoffDavis,2408,,
DeFazio, Peter A ,D,OR,4,U S  House, RepPeterDeFazio,162,,
DeGette, Diana,D,CO,1,U S  House, RepDianaDeGette,520,,
DeLauro, Rosa,D,CT,3,U S  House, rosadelauro,853,,
DelBene, Suzan,D,WA,1,U S  House, RepDelBene,18,,
DeMint, Jim,R,SC,,U S  Senate,,0,,
Denham, Jeff,R,CA,10,U S  House, RepJeffDenham,958,,
Dent, Charlie,R,PA,15,U S  House, DentPressShop,602,,
DesJarlais, Scott,R,TN,4,U S  House, DesJarlaisTN04,451,,
Deutch, Ted,D,FL,21,U S  House, RepTedDeutch,556,,
Diaz-Balart, Mario,R,FL,21,U S  House, MarioDB,676,,
Dicks, Norm,D,WA,6,U S  House,,0,,
